R5-0C,I18N_R5_INPUT_PANELS_INVENTORY.csv,REBUILT,"Complete re-extraction using DOTALL multi-line-aware regex for all 5 component types. Corrected R5-0's erroneous manual addition (falsely treated leaseStatus as a 6th missing SelectField). Final: 97 direct controls (52 building + 45 land, exact reconciliation), 5 SelectField (not 6), 128 total rows (97 controls + 31 sub-properties: 18 notes + 8 warnText + 5 options)"
R5-0C,R5_0C_PARSER_EXCEPTION_REGISTER.csv,CREATED,"Documents the one manual correction from R5-0 and why it was itself incorrect -- transparently superseded, not silently fixed"
R5-0D,R5_0C_PARSER_EXCEPTION_REGISTER.csv,MODIFIED,"Added R5-0D confirmation entry documenting independent re-verification of the 128-row CSV without new manual corrections"
R5-0E,I18N_R5_0_AUTHORITATIVE_INVENTORY_REPORT.md,CREATED,"Authoritative wave-ownership report including required 'Controlled Enum Options Wave Ownership' section; corrects R5-0D's over-broad ALL_CONTROLLED_ENUM_PRESENTATION_ROWS_ASSIGNED_TO_R5C claim with precise financing-vs-non-financing split. No CSV data changes needed -- the underlying inventory was already correct."
R5-0E,I18N_R5_CHANGE_MANIFEST.csv,MODIFIED,"Added R5-0E entries documenting the options/wave accounting micro-fix (documentation-only, zero production or CSV data changes)"
R5-A,src/i18n/locales/ar-SA.js,MODIFIED,"Added inputBuilding section (65 keys: 7 section headings, 38 unique raw fields' labels, 7 notes, 3 warnText, 10 units)"
R5-A,src/i18n/locales/en.js,MODIFIED,"Added inputBuilding section (65 keys, exact parity)"
R5-A,src/app/App.jsx,MODIFIED,"BuildingInputPanel: replaced 45 control labels/titles + 10 property rows (notes/warnText) across Sections 1-6 and 8; fixed a self-inflicted line-break loss during editing (caught and corrected same-turn); Sections 7 (financing, R5-D) and leaseStatus/all SelectField (R5-C) deliberately untouched"
R5-A,tests/i18n/run_r5a_full_closure.js,CREATED,"Permanent test: inventory/component/property reconciliation (55/45/10) + dictionary parity + engine invariance + R5-B/C/D scope isolation proof, 13/13 PASS (1 self-caught counting error in the test itself, fixed same-turn)"
R5-A,I18N_R5_INPUT_PANELS_INVENTORY.csv,MODIFIED,"implementation_status set to LOCALIZED_R5A for exactly 55 rows"
