wave_id,file_path,change_type,change_summary
R6-VALIDATION-DISCLOSURE,src/app/App.jsx,MODIFIED,"buildingValidationError/landValidationError now store rule+message_en (not just message_ar); disclosure banner display uses t() for title/suffix and selects message_ar/message_en by locale"
R6-VALIDATION-DISCLOSURE,src/i18n/locales/ar-SA.js,MODIFIED,"Added validationDisclosure section (2 keys)"
R6-VALIDATION-DISCLOSURE,src/i18n/locales/en.js,MODIFIED,"Added validationDisclosure section (2 keys)"
R6-VALIDATION-DISCLOSURE,tests/i18n/run_r6_validation_disclosure.js,CREATED,"Permanent test: bilingual ValidationError payload + dictionary + classification proof, 20/20 PASS"
R6-0,I18N_R6_UI_STRING_INVENTORY.csv,CREATED,"33-row authoritative inventory: 14 Saved Deals, 6 Error, 5 Validation (pre-localized), 1 user-content exclusion, 1 internal-only, 6 R7-deferred"
R6-0,R6_SAVED_DEAL_SCHEMA_INVENTORY.csv,CREATED,"5 persisted fields classified, 0 translatable"
R6-0,R6_VALIDATION_RULE_INVENTORY.csv,CREATED,"3 ValidationError producers, all bilingual with stable codes"
R6-0,R6_ERROR_WARNING_PRODUCER_CONSUMER_MAP.csv,CREATED,"9 producer-consumer chains mapped, 1 unreachable (PersistenceUnavailableError)"
R6-0,I18N_R6_0_AUTHORITATIVE_INVENTORY_REPORT.md,CREATED,"Full R6-0 inventory report including the persisted-default-name and dealsError-architecture discoveries"
R6-A,src/i18n/domain-presentation.js,MODIFIED,"Added getDealDisplayName(deal,t) -- distinct pass-through-by-default shape (not throw-on-unknown) since any non-default name is legitimate user content"
R6-A,src/i18n/locales/ar-SA.js,MODIFIED,"Added savedDeals section (14 keys)"
R6-A,src/i18n/locales/en.js,MODIFIED,"Added savedDeals section (14 keys, exact parity)"
R6-A,src/app/App.jsx,MODIFIED,"DealsPanel: added useLocale(), localized all 13 static strings + wrapped d.name display via getDealDisplayName; App-level: closed the pre-existing actions.reset conditional-title gap. Raw Saved Deal record shape (save + update paths) byte-identical -- confirmed via source diff."
R6-A,tests/i18n/run_r6a_full_closure.js,CREATED,"Permanent test: dictionary parity + default-name policy (both branches) + schema-freeze proof + R6-B/R5 isolation, 13/13 PASS"
R6-A,I18N_R6_UI_STRING_INVENTORY.csv,MODIFIED,"implementation_status set to LOCALIZED_R6A for exactly 14 R6-SAVED-DEALS rows"
R6-B,src/app/App.jsx,MODIFIED,"5 setDealsError call sites converted from plain Arabic strings to {code,message_ar,message_en} objects; display consumer now selects field by locale; self-caught deletion of 'if (!open) return null' guard fixed same-turn"
R6-B,src/storage/create-storage-provider.js,MODIFIED,"PersistenceUnavailableError extended with .code/.message_ar/.message_en while preserving .message/.name for backward compatibility"
R6-B,tests/i18n/run_r6a_full_closure.js,MODIFIED,"Updated 1 stale scope-isolation assertion (dealsError now legitimately structured, not R6-A-untouched-hardcoded)"
R6-B,tests/i18n/run_r6b_full_closure.js,CREATED,"Permanent test: 6 stable codes verified unique + PersistenceUnavailableError bilingual+backward-compat + locale-selects-at-render proof + R6-A/validation/R5/storage-provider isolation + live-browser-reachability documentation, 14/14 PASS"
R6-B,I18N_R6_UI_STRING_INVENTORY.csv,MODIFIED,"implementation_status set to LOCALIZED_R6B for exactly 6 R6-ERROR rows"
R6-B,R6_ERROR_WARNING_PRODUCER_CONSUMER_MAP.csv,MODIFIED,"Updated classification: DEAL_SAVE_FAILED confirmed BROWSER_REACHABLE via live simulated-failure test (was previously inferred, now verified)"
R6-B-FINAL,tests/i18n/run_r6b_malformed_saved_deal_real_path.js,CREATED,"Permanent test documenting live-verified malformed-deal rejection through the real production load path (storageProvider.get -> JSON.parse -> catch), both locales, active-state roundtrip, valid control, zero page errors -- 11/11 PASS. Documents two honest discoveries: (1) the app only rejects invalid-JSON, not incomplete-but-valid JSON; (2) the locale toggle is physically unreachable while DealsPanel is open, so the roundtrip was verified via close-switch-reopen instead of an impossible in-panel click"
R6-B-FINAL,tests/i18n/run_r6b_full_closure.js,MODIFIED,"Added the malformed-deal-real-path check to the integrated closure suite"
R6-B-FINAL,I18N_R6B_DEALS_STORAGE_ERRORS_FINAL_REPORT.md,MODIFIED,"Added the malformed-deal real-path closure section with both discoveries documented"
R6-C,tests/i18n/run_r6c_full_closure.js,CREATED,"Orchestrated qualification test: 5-row inventory reconciliation, structural 3-producer re-discovery, 10-case direct-engine boundary matrix, ValidationError contract proof, dealsError-non-merge proof, orchestrates 4 prior closures (R6-A/B/R5-E/validation-disclosure) via child process, financial/verdict invariance, live-browser evidence documentation -- 17/17 PASS. Zero production code changed this wave."
R6-C,I18N_R6C_VALIDATION_RECOVERY_FINAL_REPORT.md,CREATED,"Formal qualification report -- PRODUCTION_CODE_CHANGES=0, App.jsx MD5 confirmed unchanged"
R6-C,I18N_R6_UI_STRING_INVENTORY.csv,MODIFIED,"implementation_status set to LOCALIZED_R6C for exactly 5 R6-VALIDATION rows"
R6-D,tests/i18n/run_r6d_full_closure.js,CREATED,"Orchestrated qualification test: schema re-confirmation + live-verified Building/Land full-state persistence roundtrips (incl. all 4 controlled enums + financing) + locale-switch-zero-writes instrumentation + update/delete path verification + orchestrates R6-A/B/C/R5-E + malformed regression + SDI-001 registration check, 19/19 PASS. Zero production code changed this wave."
R6-D,FINDINGS_REGISTER.md,CREATED,"Separate non-i18n findings register; SDI-001 (Saved Deal structural schema validation gap) registered as OPEN_FOR_LATER_HARDENING, explicitly not fixed"
R6-D,I18N_R6D_PERSISTENCE_BROWSER_INTEGRATION_FINAL_REPORT.md,CREATED,"Qualification report -- PRODUCTION_CODE_CHANGES=0, App.jsx MD5 confirmed unchanged"
